ＣＤプレーヤー	シーディープレーヤー	CD player	
お負けに	おまけに	to make matters worse, besides, what's more, in addition, on top of that	
おめでとう御座います	おめでとうございます	congratulations	
おや	おや	oh!, oh?, my!	
おろおろ	おろおろ	in confusion, in a fluster, in bewilderment, in a dither, in a panic, all shook up, helplessly	
お握り	おにぎり	onigiri, rice ball (often triangular, sometimes with a filling and wrapped in nori)	
お化け	おばけ	ghost, apparition	
お菓子	おかし	confections, sweets, candy, cake	
お願いします	おねがいします	please	
お願いいたします	おねがいいたします	please	
お帰りなさい	おかえりなさい	welcome home	
お客様	おきゃくさま	guest, visitor	
お休みなさい	おやすみなさい	good night	
お金	おかね	money	
お兄さん	おにいさん	older brother, elder brother	
お好み焼き	おこのみやき	okonomiyaki, savoury pancake fried on an iron griddle with vegetables, meat and/or seafood and topped with various sauces and condiments	
お絞り	おしぼり	wet towel (supplied at table), hot, moistened hand towel	
お参り	おまいり	visit (to a shrine, grave, etc.), worship	
お産	おさん	(giving) birth, childbirth, delivery	
お仕舞い	おしまい	the end, closing, being done for	
お使い	おつかい	errand, mission, going on an errand	
お姉さん	おねえさん	older sister, elder sister	
お子様	おこさま	(another's) child	
お辞儀	おじぎ	bow, bowing	
お邪魔します	おじゃまします	please excuse the intrusion, I'm coming in	
お守り	おまもり	charm, amulet, talisman	
お手上げ	おてあげ	being done for, giving up, being in a hopeless situation, not knowing what to do, being brought to one's knees, throwing up (one's) hands	
お手洗い	おてあらい	toilet, restroom, lavatory, bathroom	
お手伝いさん	おてつだいさん	maid	
お巡りさん	おまわりさん	police officer	
お嬢さん	おじょうさん	(another's) daughter	
お世辞	おせじ	flattery, compliment	
お世話になる	おせわになる	to receive favor, to receive assistance, to receive help, to be looked after, to be taken care of, to become dependent (on), to become much obliged (to someone), to become indebted	
お先に	おさきに	before, previously	
お前	おまえ	you	
お祖父さん	おじいさん	grandfather	
お祖母さん	おばあさん	grandmother	
お早うございます	おはようございます	good morning	
お袋	おふくろ	(one's) mother	
お大事に	おだいじに	take care of yourself, get well soon	
お宅	おたく	your house, your home, your family	
お誕生日おめでとうございます	おたんじょうびおめでとうございます	happy birthday	
お茶	おちゃ	tea (esp. green or barley)	
お喋り	おしゃべり	chattering, talk, idle talk, chat, chitchat, gossip	
お天気	おてんき	weather	
お土産	おみやげ	local specialty or souvenir bought as a gift while traveling (travelling)	
お凸	おでこ	brow, forehead	
お疲れ様	おつかれさま	thank you (for your hard work), good work	
お父さん	おとうさん	father, dad, papa, pa, pop, daddy, dada	
お腹	おなか	belly, abdomen, stomach	
お返し	おかえし	return gift, return favour	
お母さん	おかあさん	mother, mom, mum, ma	
お墨付き	おすみつき	certificate, certified document, authorization, authorisation	
お話中	おはなしちゅう	busy (phone)	
お洒落	おしゃれ	stylish, fashionable, trendy, chic, smartly dressed, careful about one's appearance	
畏まりました	かしこまりました	certainly!, very well, with pleasure, understood!	
かしら	かしら	I wonder, do you think?, I might, how about	
カチカチ	カチカチ	ticktock	
カッと	カッと	flaring up, burning hotly, suddenly becoming bright	
かな	かな	I wonder	
敵わない	かなわない	no match for, cannot compete with, not in the same league as, powerless against	
かも知れない	かもしれない	may, might, perhaps, may be, possibly	
かも知れません	かもしれません	may, might, perhaps, may be, possibly	
から	から	from (e.g. time, place, numerical quantity), since	
からり	からり	with a clatter	
か弱い	かよわい	weak, feeble, delicate, frail, helpless	
がさがさ	がさがさ	rustling	
ガタガタ	ガタガタ	rattling, clattering	
がっかり	がっかり	to be disappointed, to be dejected, to be downhearted, to be discouraged, to be disheartened, to lose heart, to feel let down	
がっくり	がっくり	heartbroken, crestfallen, dejected, disappointed	
がっしり	がっしり	firmly, solidly, sturdily, strongly, toughly	
がっちり	がっちり	solid, robust, well-built	
がぶがぶ	がぶがぶ	gulping down (a drink), guzzling, chugging	
がやがや	がやがや	noisily (crowd of people talking), clamorously, in a hubbub, jabberingly, chatteringly, buzzingly	
きちっと	きちっと	exactly, perfectly	
きちんと	きちんと	properly, accurately, exactly, precisely, regularly	
きっちり	きっちり	exactly, precisely, punctually, on the dot	
屹度	きっと	surely, undoubtedly, almost certainly, most likely (e.g. 90 percent)	
きっぱり	きっぱり	clearly, plainly, distinctly, decisively, flatly, definitely, resolutely	
きつい	きつい	tough, hard, severe, demanding, harsh	
キョロキョロ	キョロキョロ	(looking around) restlessly, (looking) all around, goggling	
キラキラ	キラキラ	glittering, sparkling, glistening, twinkling	
ぎこちない	ぎこちない	awkward, clumsy, stiff, crude, unrefined, constrained	
刻々	ギザギザ	notches, serration, indentation, jaggies (stair-step artifacts in computer images)	
ぎっしり	ぎっしり	tightly (packed), densely, closely, crammed	
ぎゅうぎゅう	ぎゅうぎゅう	creaking, squeaking	
ぎゅっと	ぎゅっと	tightly (hold, squeeze, etc.), firmly, forcefully (e.g. push), hard	
ぎょっと	ぎょっと	being startled	
ギラギラ	ギラギラ	glaringly, dazzlingly, blazingly	
限り限り	ぎりぎり	just barely, only just, at the very limit, at the last moment	
くしゃくしゃ	くしゃくしゃ	crumpled, rumpled, wrinkled, creased, tousled, disheveled, dishevelled	
嚏	くしゃみ	sneeze, sneezing	
擽ったい	くすぐったい	ticklish	
擽る	くすぐる	to tickle	
くたくた	くたくた	exhausted, worn out, dead tired	
くたばる	くたばる	to kick the bucket, to drop dead, to die, to croak	
草臥れる	くたびれる	to get tired, to become exhausted, to grow weary	
くっきり	くっきり	clearly (standing out), distinctly, sharply, boldly, in sharp relief	
くっ付く	くっつく	to adhere to, to stick to, to cling to	
くっ付ける	くっつける	to attach, to stick together, to paste, to glue	
くどくど	くどくど	tediously (explain, complain, etc.), repeatedly, persistently, insistently, ad nauseam, at great length	
隈なく	くまなく	all over, everywhere, in every nook and cranny	
くよくよ	くよくよ	to fret (over), to brood (about), to mope, to worry	
比べ	くらべ	contest, comparison, competition	
くるくる	くるくる	whirling, revolving, spinning, going round and round	
愚図愚図	ぐずぐず	slowly, tardily, dawdling, lingering, hesitantly	
ぐっすり	ぐっすり	soundly (sleeping), fast (asleep)	
ぐったり	ぐったり	limply, wearily, listlessly, languidly, exhaustedly, unenergetically	
グラグラ	グラグラ	wobbling, tottering, shaking, unstably, unsteadily	
ぐるぐる	ぐるぐる	(turning) round and round, in circles	
けじめ	けじめ	distinction (e.g. between right and wrong, public and private, etc.), responsibility (taking, acknowledging)	
けど	けど	but, however, although	
斯う	こう	in this way, like this, so, thus	
こう言う	こういう	such, this sort of, like this	
こうすると	こうすると	having done this, if this is done, if it is done in this way	
こうすれば	こうすれば	if you do this, if this is the case	
こそ	こそ	it is ... that ..., precisely, in particular, definitely, for sure, only (when, after, because, etc.)	
こそこそ	こそこそ	sneakily, secretly, stealthily, on the sly	
拘る	こだわる	to be obsessive (about), to be overly concerned (with), to fuss (over), to worry too much (about), to be picky (about), to be hung up (on), to stick to	
此方	こちら	this way, this direction	
こっそり	こっそり	stealthily, secretly, in secret	
コツコツ	コツコツ	steadily, unflaggingly, untiringly, laboriously, diligently	
事がある	ことがある	(for something) to have occurred, to have done (something)	
ことが出来る	ことができる	to be able (to), to be possible (to)	
悉く	ことごとく	altogether, entirely	
事になる	ことになる	to have been decided (so) that, to have been arranged (so) that	
事によって	ことによって	via, through, by doing, by means of, using	
このため	このため	because of this	
この外	このほか	besides, moreover, in addition	
この間	このあいだ	the other day, lately, recently, during this period	
この頃	このごろ	these days, nowadays, now, at present, recently, lately	
この辺	このへん	this area, around here	
此れから	これから	from now on, after this, in the future, in future	
これで	これで	here, with this	
これ迄	これまで	so far, up to now, hitherto	
これ等	これら	these	
コロコロ	コロコロ	(rolling) along, (rolling) over and over	
こんな	こんな	this sort of, this kind of, like this, such	
こんなに	こんなに	so, like this, in this way, this much, to this extent	
ゴミ箱	ごみばこ	trash can, garbage can, rubbish bin, dustbin	
ゴロゴロ	ゴロゴロ	rumbling (of thunder, one's stomach, etc.), grumbling, growling, purring	
ご苦労様	ごくろうさま	thank you (for your hard work), I appreciate your efforts	
ご馳走様でした	ごちそうさまでした	thank you for the meal, that was a delicious meal, what a wonderful meal	
さあ	さあ	come (on), come now, come along, here	
さえ	さえ	even	
させる	させる	to make (someone) do	
先	さっき	a short while ago, a moment ago, just now, some time ago	
さっさと	さっさと	quickly, promptly, immediately, without delay, briskly, hurriedly, hastily	
颯と	さっと	quickly (esp. actions)	
さっぱり	さっぱり	feeling refreshed, feeling relieved	
さらさら	さらさら	with a rustling sound	
さん	さん	Mr, Mrs, Miss, Ms, -san	
ざっと	ざっと	roughly, approximately, round about, more or less	
ザラザラ	ザラザラ	rough (touch, voice, etc.), coarse, gritty, sandy, granular	
ざわざわ	ざわざわ	noisily (from many people talking), in a commotion	
しか	しか	nothing but, except, no more than	
頻りに	しきりに	frequently, repeatedly, often, incessantly, constantly	
しくじる	しくじる	to fail, to blunder, to mess up, to screw up	
執拗い	しつこい	insistent, obstinate, persistent, tenacious	
しとしと	しとしと	gently (raining), drizzling	
屡々	しばしば	often, again and again, frequently, repeatedly	
仕舞った	しまった	darn it!, darn!, oops!, oh dear!, oh no!	
沁み沁み	しみじみ	keenly, deeply, fully, heartily, seriously, earnestly	
しゃがむ	しゃがむ	to squat, to crouch	
吃逆	しゃっくり	hiccup, hiccough	
しゃぶしゃぶ	しゃぶしゃぶ	shabu-shabu, hot pot dish where thinly sliced meat is boiled quickly and then dipped in sauce	
しょっちゅう	しょっちゅう	always, all the time, constantly, frequently, often	
しょんぼり	しょんぼり	downheartedly, dejectedly, dispiritedly, despondently	
しんどい	しんどい	tired, frazzled	
じっくり	じっくり	(slowly and) carefully, without haste, thoroughly, deliberately, closely, meticulously	
凝乎と	じっと	motionlessly (e.g. stand, wait), (be) still	
じめじめ	じめじめ	damp, humid, wet, clammy, muggy, soggy	
じゃあ	じゃあ	then, well, so, well then	
じゃが芋	じゃがいも	potato (Solanum tuberosum)	
じゃぶじゃぶ	じゃぶじゃぶ	splashing (water), splashing about, with a splash	
じゃん拳	じゃんけん	rock-paper-scissors (game), janken	
すっかり	すっかり	all, completely, totally, entirely, thoroughly	
すっきり	すっきり	refreshingly, with a feeling of relief, pleasantly, (a weight) off one's shoulder	
すっと	すっと	straight, quickly, directly, all of a sudden	
す可き	すべき	should do, ought to do	
すやすや	すやすや	(sleeping) peacefully, quietly, soundly	
スラスラ	スラスラ	smoothly, easily, readily	
すると	すると	(and) then, and, thereupon, whereupon	
擦れ擦れ	すれすれ	grazing, skimming, almost touching, passing within inches, being within a whisker, shaving close	
ズキズキ	ずきずき	throbbingly (of pain)	
ずっと	ずっと	continuously, the whole time, all the way, throughout	
ズバリ	ズバリ	decisively, decidedly, boldly, once and for all, unreservedly, frankly	
ずらす	ずらす	to shift, to move, to slide	
ずるずる	ずるずる	(dragging a large or heavy item) slowly	
ずれる	ずれる	to slide, to slip off, to get dislocated, to be out of alignment, to get dislodged, to deviate, to shift (position), to be out of sync, to be slightly off, to be off-point	
せかせか	せかせか	restlessly, hurriedly, agitatedly, fidgeting	
せがむ	せがむ	to badger, to pester, to beg	
せず	せず	without doing	
せずに	せずに	without (doing), instead of	
せっかち	せっかち	hasty, impatient, restless, rash	
せめて	せめて	at least, at most, (even) just	
其奴	そいつ	he, she, that person, that guy, that fellow	
そう	そう	appearing that, seeming that, looking like, having the appearance of	
そうすると	そうすると	having done that, if that is done, if it is done in that way	
そうだ	そうだ	that is so, that is right, it looks to me, that's my impression	
其処	そこ	there (place relatively near listener)	
而して	そして	and, and then, thus, and now, and finally	
そそっかしい	そそっかしい	careless, thoughtless, hasty, rash	
其方	そちら	that way, that direction	
そっくり	そっくり	all, altogether, entirely, completely	
そっと	そっと	softly, gently, quietly, lightly	
其の	その	that, the	
その上	そのうえ	in addition, furthermore	
その他	そのほか	the rest, the others	
その内	そのうち	before very long, soon, someday, one of these days, sooner or later	
抑	そもそも	in the first place, to begin with, from the start, originally, ab initio	
そよ風	そよかぜ	gentle breeze, soft wind, breath of air, zephyr	
其れ	それ	that, it	
其れから	それから	and then, after that	
其れで	それで	so, therefore, and, (and) then	
其れとも	それとも	or, or else	
其れに	それに	besides, in addition, also, moreover	
それ程	それほど	to that degree, to that extent, that much	
それ等	それら	those, they	
そわそわ	そわそわ	restlessly, nervously, uneasily, in a fidget	
そんな	そんな	such, that sort of, that kind of, like that	
ぞくぞく	ぞくぞく	shivering, feeling chilly	
ぞろぞろ	ぞろぞろ	in a crowd, in droves, in a stream, in succession	
ぞんざい	ぞんざい	rough, careless, slovenly, slipshod, rude, impolite	
たった	たった	only, merely, but, no more than	
たっぷり	たっぷり	plentifully, amply, abundantly, copiously, generously, fully, a lot	
度に	たびに	each time, every time, whenever (something happens), on the occasion of	
たらたら	たらたら	drop-by-drop, dripping, dribbling, in a trickle	
だから	だから	so, therefore, accordingly, consequently, on those grounds, that is why, for that reason	
丈	だけ	only, just, merely, simply, no more than, nothing but, alone	
だけでなく	だけでなく	not only ... (but also), not just, as well as	
だけど	だけど	but, however, although	
だったら	だったら	if it's the case	
だぶだぶ	だぶだぶ	loose (of clothing), baggy	
だらけ	だらけ	full of (e.g. mistakes), riddled with	
だらし無い	だらしない	slovenly (appearance, work, etc.), sloppy, untidy, undisciplined, careless, loose, slack	
だらだら	だらだら	in drops, dripping, trickling, streaming, flowing	
怠い	だるい	sluggish, languid, listless, heavy (heart, legs, etc.), dull	
ちぐはぐ	ちぐはぐ	mismatched, odd, irregular	
些とも	ちっとも	(not) at all, (not) a bit, (not) in the least, (not) in the slightest	
ちゃん	ちゃん	suffix for familiar person	
ちゃんと	ちゃんと	diligently, seriously, earnestly, reliably, steadily, legitimately	
ちょくちょく	ちょくちょく	often, frequently, now and then, occasionally	
ちょっぴり	ちょっぴり	a tiny bit, just a smidgin, a wee bit, very slightly	
ちらちら	ちらちら	falling lightly (e.g. snow, petals, confetti), fluttering	
ちらっと	ちらっと	at a glance, by accident	
ちんちん	ちんちん	penis	
チンピラ	チンピラ	(young) hoodlum, delinquent boy, delinquent girl, hooligan, punk	
っ放し	っぱなし	leaving (on, open, unfinished, etc.)	
つい	つい	just (now)	
序でに	ついでに	while (one is at it), when, on the occasion of, at the same time (as), on one's way (to), by the way, incidentally, in passing	
熟	つくづく	deeply, keenly, severely, completely, utterly	
つつ	つつ	while	
躑躅	つつじ	azalea, rhododendron	
詰らない	つまらない	dull, uninteresting, boring, tedious	
つるつる	つるつる	smooth, shiny, slick	
てくてく	てくてく	(walking a long distance) at a steady pace, intently, earnestly, single-mindedly, trudgingly, ploddingly	
てっきり	てっきり	surely, certainly, without doubt	
である	である	be, is	
でかい	でかい	huge, big, gargantuan	
でしょう	でしょう	it seems, I think, I guess, I wonder	
ですから	ですから	so, therefore, accordingly, consequently, on those grounds, that is why, for that reason	
では	では	then, well, so, well then	
でも	でも	but, however, though, nevertheless, still, yet, even so, also, as well	
と	と	if, when	
と言うもの	というもの	something like ..., something called ...	
とか	とか	and the like, such as, among other things, and so on	
所が	ところが	even so, however, still, whereupon, even though, nevertheless, on the contrary, as a matter of fact, despite	
として	として	as (i.e. in the role of), for (i.e. from the viewpoint of)	
としても	としても	even if ..., even supposing that ...	
とすると	とすると	then, if so, if	
迚も	とても	very, awfully, exceedingly	
とろ	とろ	fatty cut (esp. of tuna belly)	
飛んだ	とんだ	unexpected, unlikely, strange	
とんでも無い	とんでもない	unthinkable, unexpected, absurd, outrageous, preposterous, terrible	
とんとん	とんとん	with a tap, with a knock, with a knocking sound, with a rap-tap	
と言えば	といえば	speaking of ...	
如何	どう	how, in what way, how about	
どう言う	どういう	what kind of, what sort of, what	
どうしたの	どうしたの	what's the matter?, what's wrong?	
どうせ	どうせ	anyhow, in any case, at any rate, after all, at all, no matter what	
どうにか	どうにか	in some way or other, one way or another, somehow, only just, barely	
どうも	どうも	thank you, thanks	
どうやら	どうやら	possibly, apparently, (seem) likely, seemingly	
どう致しまして	どういたしまして	you're welcome, don't mention it, not at all, my pleasure	
ドキッと	ドキッと	being startled, getting a shock	
ドキドキ	ドキドキ	thump-thump, bang-bang, pit-a-pat, pitapat, pitter-patter	
どしどし	どしどし	rapidly, one after the other	
ドタバタ	どたばた	noisily (running around), with heavy feet	
何方も	どちらも	both	
どっと	どっと	bursting out (laughter), breaking out (applause), roaring, whooping	
何方でも	どなたでも	anyone	
どの様	どのよう	what sort, what kind	
どの位	どのくらい	how long, how far, how much	
何れ	どれ	which (of three or more)	
何れでも	どれでも	any one, any, whichever	
泥々	どろどろ	viscous, mushy, pulpy, thick, slushy, syrupy, sticky	
どんどん	どんどん	drumming (noise), beating, pounding, banging, booming, stamping	
どんな	どんな	what kind of, what sort of, what	
どんなに	どんなに	how, how much, to what extent	
等閑	なおざり	neglect, negligence, disregard, making light of	
何故なら	なぜなら	because, the reason is, if you want to know why	
何故ならば	なぜならば	because, for, the reason why is ...	
なら	なら	if, in case, if it is the case that, if it is true that	
なんか	なんか	something like ..., things like ..., someone like ..., the likes of ...	
に於いて	において	at (a time or place), in, on	
に於ける	における	in, at, on, as for, regarding, with regards to	
和やか	にこやか	smiling, beaming, radiant, bright, cheerful	
に取って	にとって	to, for, from the standpoint of, as far as ... is concerned	
にも	にも	also, too, not ... either, as well, even	
ニヤニヤ	ニヤニヤ	grinning, smirking	
に因って	によって	according to, due to, by (means of), because of, via, on the basis of, depending on	
によって異なる	によってことなる	to differ depending on ...	
に依る	による	by means of, due to, because of, according to	
に依ると	によると	according to (someone)	
に加えて	にくわえて	in addition	
に関して	にかんして	regarding ..., concerning ..., about ..., on ..., with respect to ..., in regard to ...	
に就いて	について	about, on, regarding, concerning	
に対して	にたいして	towards, against, regarding, in contrast with	
に対する	にたいする	regarding, in, to, towards, with regards to	
ヌルヌル	ヌルヌル	slimy, slippery, greasy, clammy	
ねた	ねた	material (for a story, article, etc.), information, news item	
の度に	のたびに	on the occasion of	
ので	ので	because, as, since, so	
のに	のに	although, despite, even though, and yet	
のみ	のみ	only, nothing but	
のろのろ	のろのろ	slowly, sluggishly	
のんびり	のんびり	at leisure, in a relaxed manner, in a carefree manner, quietly, peacefully	
はい	はい	yes, that is correct	
はっきり	はっきり	clearly, plainly, distinctly	
蔓延る	はびこる	to become overgrown, to grow thick	
許り	ばかり	only, merely, nothing but, no more than	
バテる	ばてる	to be exhausted, to be worn out	
薔薇薔薇	バラバラ	scattered, disperse, loose, disconnected, in pieces, in drops, rustling	
バリバリ	ばりばり	vigorously (ripping, tearing, scratching, etc.), roughly, with a rip	
ばれる	ばれる	to leak out (of a secret), to come out, to be exposed (of a lie, improper behaviour, etc.), to be found out, to be discovered	
パッと	パッと	suddenly, in a flash, quickly, rapidly, swiftly, nimbly	
犇々	ひしひし	acutely (feel), keenly, severely	
ヒソヒソ	ヒソヒソ	in a whisper, in a low voice, in undertones	
只管	ひたすら	intently, single-mindedly, devotedly, solely, earnestly, with all one's heart	
ひっそり	ひっそり	quiet (place), still, silent, deserted	
罅	ひび	crack, fissure	
ひょっとすると	ひょっとすると	perhaps, maybe, possibly	
ひらひら	ひらひら	fluttering, flapping, waving	
ビクビク	びくびく	being afraid of, being fearful, being timid, being nervous	
びしょびしょ	びしょびしょ	soaked, drenched, sopping, soppy, wet	
びっしょり	びっしょり	wet through, drenched	
びっしり	びっしり	closely (packed, lined up, etc.), tightly, densely	
ビリビリ	ビリビリ	(tear) to pieces, (rip) apart, (rip) up, (rip) open	
ピカピカ	ピカピカ	with a glitter, with a sparkle	
ぴったり	ぴったり	tightly, closely	
ぴょんぴょん	ぴょんぴょん	hopping, skipping, lightly and repeatedly jumping	
ピリピリ	ぴりぴり	with a sting, with a tingle, with a burn, smartingly	
ぴんぴん	ぴんぴん	lively, energetic, full of life	
ふらふら	ふらふら	unsteadily (e.g. on one's feet), shakily, staggering, tottering, reeling, dizzily, giddily	
ふわり	ふわり	softly, gently, lightly	
ぶかぶか	ぶかぶか	too large (clothing), baggy, loose-fitting	
ぶっきら棒	ぶっきらぼう	curt, blunt, brusque	
ぶつかる	ぶつかる	to bump into, to run into, to collide with, to hit, to strike	
ぶつぶつ	ぶつぶつ	grunt, grumble, complaint, mutter	
ぶらぶら	ぶらぶら	dangling, swaying, swinging	
ぶら下がる	ぶらさがる	to hang down (from), to dangle, to swing, to be suspended	
ぶら下げる	ぶらさげる	to hang, to suspend, to dangle, to swing, to carry	
ぶるぶる	ぶるぶる	trembling (with fear, anger, etc.), shivering (with cold), shaking, quivering	
ヘトヘト	ヘトヘト	completely exhausted, dead tired, knackered	
可き	べき	should, must, ought to	
ベタベタ	ベタベタ	sticky	
ペコペコ	ぺこぺこ	very hungry, starving, famished	
ペラペラ	ぺらぺら	fluently (speaking a foreign language)	
ほっと	ほっと	with a feeling of relief, with a sigh of relief	
ほら	ほら	look!, see!, here!, there!, hey!	
本の	ほんの	mere, only, just, slight	
ほんのり	ほんのり	slightly, faintly	
ぼーっと	ぼーっと	in a daze, absent-mindedly, vacantly, abstractedly, blankly, idly	
惚け	ぼけ	fool, idiot	
ぼやける	ぼやける	to become dim, to become blurred	
ボロボロ	ボロボロ	worn-out, ragged, tattered, battered, scruffy	
ぼんやり	ぼんやり	dimly, faintly, indistinctly, vaguely	
ぽかぽか	ぽかぽか	pleasantly warm, nice and warm	
ぽかん	ぽかん	vacantly, blankly, absentmindedly	
ポタポタ	ポタポタ	dripping, trickling, drop by drop, in drops	
まあ	まあ	just (e.g. "just wait here"), come now, now, now	
まあまあ	まあまあ	so-so, passable, not (so) bad, reasonable	
まごまご	まごまご	confused, flustered, at a loss	
忠実	ちゅうじつ	faithful, devoted, loyal, honest, true	
見す見す	みすみす	before one's own eyes, from under one's very nose, without doing anything, without resistance, helplessly, negligently, knowingly	
ムカムカ	ムカムカ	feeling sick, feeling queasy, feeling nauseated	
むっつり	むっつり	sullenly, taciturnly, morosely, gloomily, silently	
メキメキ	メキメキ	remarkably, markedly, rapidly	
めく	めく	to show signs of ..., to have the appearance of ...	
めっきり	めっきり	remarkably, noticeably, considerably, appreciably	
もう	もう	already, yet, by now, now, (not) any more, (not) any longer	
藻掻く	もがく	to struggle, to writhe, to wriggle, to squirm	
若し	もし	if, in case, supposing	
若しかしたら	もしかしたら	perhaps, maybe, perchance, by some chance, by any chance	
若しかして	もしかして	perhaps, possibly, maybe, by any chance, if I'm not mistaken	
若しかすると	もしかすると	perhaps, possibly, maybe, by some chance	
もしもし	もしもし	hello (e.g. on phone)	
もっと	もっと	(some) more, even more, longer, further	
持て成し	もてなし	hospitality, reception, treatment, service, entertainment	
軈て	やがて	before long, soon, shortly	
ヤクザ	ヤクザ	(member of the) yakuza, gangster, mobster	
やって来る	やってくる	to come along, to come around, to turn up	
漸と	やっと	at last, finally	
矢っ張り	やっぱり	as expected, sure enough, just as one thought	
やばい	やばい	dangerous, risky	
ややこしい	ややこしい	complicated, complex, intricate, confusing, difficult, troublesome	
やり繰り	やりくり	making do, getting by (somehow), managing	
やり取り	やりとり	giving and taking, exchange (of letters), arguing back and forth, (conversational) exchange	
やり方	やりかた	way (of doing), manner, method, means	
遣る	やる	to do, to undertake, to perform, to play (a game), to study	
やれやれ	やれやれ	oh!, ah!, oh dear!, good grief!, dear me!, thank God!	
ゆっくり	ゆっくり	slowly, unhurriedly, without haste, leisurely, at one's leisure	
ゆとり	ゆとり	elbowroom, leeway, room, reserve, margin, allowance, latitude, time (to spare)	
揺ら揺ら	ゆらゆら	swaying, swinging, rocking, shaking, wavering, flickering	
ようこそ	ようこそ	welcome	
様に	ように	like, as	
様にする	ようにする	to see to it that ..., to make sure that ..., to try to ..., to make an effort to ...	
様になる	ようになる	to reach the point where ..., to come to ..., to come to be that ..., to start to ..., to begin to ...	
寄越す	よこす	to send, to forward	
涎	よだれ	drool	
ヨチヨチ	よちよち	totteringly, with tottering steps, toddling	
より	より	than	
よれば	よれば	according to	
蹌踉めく	よろめく	to stagger, to stumble, to totter, to reel	
よろよろ	よろよろ	tottering, staggering, faltering, reeling	
らしい	らしい	seeming ..., appearing ...	
ワイワイ	わいわい	noisily, clamorously, boisterously	
わくわく	わくわく	to be excited, to be nervous, to be thrilled	
アーキテクチャ	アーキテクチャ	architecture	
アーク	アーク	arc	
アーケード	アーケード	arcade (street)	
アース	アース	earth, ground, earthing, grounding	
アーチ	アーチ	arch	
アーチェリー	アーチェリー	archery	
アーティスト	アーティスト	artist, musician	
アート	アート	art	
アーバン	アーバン	urban	
アーム	アーム	arm	
アーモンド	アーモンド	almond (Prunus dulcis)	
アイコン	アイコン	icon	
アイシャドウ	アイシャドウ	eyeshadow	
アイス	アイス	ice	
アイスクリーム	アイスクリーム	ice cream, icecream	
アイスホッケー	アイスホッケー	ice hockey	
アイテム	アイテム	item	
アイデア	アイデア	idea	
アイデンティティ	アイデンティティ	identity	
アイドル	アイドル	performer (usu. in a boy band or girl group) with an image cultivated to foster a dedicated fan following, Japanese idol	
アイヌ	アイヌ	Ainu	
アイボリー	アイボリー	ivory	
アイリス	アイリス	iris	
アイロン	アイロン	iron (for pressing clothes)	
ＯＵＴ	アウト	out (of a ball; in tennis, etc.), outside the line	
アウトドア	アウトドア	outdoors	
アウトレット	アウトレット	outlet (store)	
アカデミー	アカデミー	academy	
アカデミック	アカデミック	academic	
アキレス腱	アキレスけん	Achilles tendon, calcaneal tendon	
アコースティック	アコースティック	acoustic (instrument, music, etc.)	
アクシデント	アクシデント	accident	
アクション	アクション	action	
アクセサリー	アクセサリー	accessory (fashion), jewelry	
アクセス	アクセス	access (to a place, esp. using public transport)	
